text,link
Skip to content,#main
(empty),https://www.geeksforgeeks.org/
Python,https://www.geeksforgeeks.org/python/python-programming-language-tutorial/
Java,https://www.geeksforgeeks.org/java/java/
DSA,https://www.geeksforgeeks.org/learn-data-structures-and-algorithms-dsa-tutorial/
ML & Data Science,https://www.geeksforgeeks.org/ai-ml-and-data-science-tutorial-learn-ai-ml-and-data-science/
Interview Corner,https://www.geeksforgeeks.org/interview-corner/
Programming Languages,https://www.geeksforgeeks.org/programming-language-tutorials/
Web Development,https://www.geeksforgeeks.org/web-technology/
CS Subjects,https://www.geeksforgeeks.org/articles-on-computer-science-subjects-gq/
DevOps,https://www.geeksforgeeks.org/devops/devops-tutorial/
Software and Tools,https://www.geeksforgeeks.org/websites-apps/software-and-tools-a-to-z-list/
School Learning,https://www.geeksforgeeks.org/geeksforgeeks-school/
Practice Coding Problems,https://www.geeksforgeeks.org/geeksforgeeks-practice-best-online-coding-platform/
DSA / Placements,https://www.geeksforgeeks.org/courses/category/dsa-placements
ML & Data Science,https://www.geeksforgeeks.org/courses/category/machine-learning-data-science
Development,https://www.geeksforgeeks.org/courses/category/development-testing
Cloud / DevOps,https://www.geeksforgeeks.org/courses/category/cloud-devops
Programming Languages,https://www.geeksforgeeks.org/courses/category/programming-languages
All Courses,https://www.geeksforgeeks.org/courses
Python,https://www.geeksforgeeks.org/courses/python-skill-up
C,https://www.geeksforgeeks.org/courses/c-skill-up
C++,https://www.geeksforgeeks.org/courses/skill-up-cpp
Java,https://www.geeksforgeeks.org/courses/java-skill-up
Advanced Java,https://www.geeksforgeeks.org/courses/advanced-java-skill-up
SQL,https://www.geeksforgeeks.org/courses/sql-skill-up
JavaScript,https://www.geeksforgeeks.org/courses/complete-java-script-skill-up
GfG 160,https://www.geeksforgeeks.org/courses/gfg-160-series
GfG 360,https://www.geeksforgeeks.org/courses/dsa-skill-up
System Design,https://www.geeksforgeeks.org/courses/system-design-skill-up
Core Subjects,https://www.geeksforgeeks.org/courses/cs-core-subjects-skill-up
Interview Questions,https://www.geeksforgeeks.org/courses/interview-qna-skill-up
Interview Puzzles,https://www.geeksforgeeks.org/courses/100-days-of-interview-puzzles-skill-up
Aptitude and Reasoning,https://www.geeksforgeeks.org/courses/aptitude-and-reasoning-skill-up
Python,https://www.geeksforgeeks.org/courses/python-skill-up
Data Analytics,https://www.geeksforgeeks.org/courses/data-analytics-skill-up
Complete Data Science,https://www.geeksforgeeks.org/courses/ds-16
Full-Stack Web Dev,https://www.geeksforgeeks.org/courses/full-stack-web-dev-skill-up
DevOps,https://www.geeksforgeeks.org/courses/devops-skill-up
Software Testing,https://www.geeksforgeeks.org/courses/software-testing-skill-up
CyberSecurity,https://www.geeksforgeeks.org/courses/cyber-security-skill-up
Computer Fundamentals,https://www.geeksforgeeks.org/courses/computer-fundamentals-skill-up
AI Tools,https://www.geeksforgeeks.org/courses/ai-tools-skill-up
MS Excel & Google Sheets,https://www.geeksforgeeks.org/courses/ms-excel-and-google-spreadsheets
MS Word & Google Docs,https://www.geeksforgeeks.org/courses/ms-word-and-google-docs-skill-up
Maths For Computer Science,https://www.geeksforgeeks.org/courses/maths-for-computer-science-skill-up
Engineering Mathematics,https://www.geeksforgeeks.org/courses/engineering-mathematics-skill-up
Python Tutorial,https://www.geeksforgeeks.org/python/python-programming-language-tutorial/
Data Types,https://www.geeksforgeeks.org/python/python-data-types/
Interview Questions,https://www.geeksforgeeks.org/python/python-interview-questions/
Examples,https://www.geeksforgeeks.org/python/python-programming-examples/
Quizzes,https://www.geeksforgeeks.org/python/python-quizzes/
DSA Python,https://www.geeksforgeeks.org/dsa/python-data-structures-and-algorithms/
Data Science,https://www.geeksforgeeks.org/data-science/data-science-with-python-tutorial/
NumPy,https://www.geeksforgeeks.org/python/numpy-tutorial/
Pandas,https://www.geeksforgeeks.org/pandas/pandas-tutorial/
Practice,https://www.geeksforgeeks.org/dsa/geeksforgeeks-practice-best-online-coding-platform/
Django,https://www.geeksforgeeks.org/python/django-tutorial/
Flask,https://www.geeksforgeeks.org/python/flask-tutorial/
Projects,https://www.geeksforgeeks.org/python/python-projects-beginner-to-advanced/
Open In App,https://geeksforgeeksapp.page.link/?link=https://www.geeksforgeeks.org/parsing-and-converting-html-documents-to-xml-format-using-python/?type%3Darticle%26id%3D665175&apn=free.programming.programming&isi=1641848816&ibi=org.geeksforgeeks.GeeksforGeeksDev&efr=1
input,https://media.geeksforgeeks.org/wp-content/cdn-uploads/20210819194859/input.html
BeautifulSoup,https://www.geeksforgeeks.org/python/implementing-web-scraping-python-beautiful-soup/
soup.prettify(),https://www.geeksforgeeks.org/python/pretty-printing-in-beautifulsoup/
splitlines(),https://www.geeksforgeeks.org/python/python-string-splitlines-method/
A,https://www.geeksforgeeks.org/user/anilabhadatta/
anilabhadatta,https://www.geeksforgeeks.org/user/anilabhadatta/
A,https://www.geeksforgeeks.org/user/anilabhadatta/
anilabhadatta,https://www.geeksforgeeks.org/user/anilabhadatta/
Python,https://www.geeksforgeeks.org/category/programming-language/python/
Python-XML,https://www.geeksforgeeks.org/tag/python-xml/
"Python Introduction

2 min read",https://www.geeksforgeeks.org/python/introduction-to-python/
"Input and Output in Python

4 min read",https://www.geeksforgeeks.org/python/input-and-output-in-python/
"Python Variables

5 min read",https://www.geeksforgeeks.org/python/python-variables/
"Python Operators

4 min read",https://www.geeksforgeeks.org/python/python-operators/
"Python Keywords

2 min read",https://www.geeksforgeeks.org/python/python-keywords/
"Python Data Types

8 min read",https://www.geeksforgeeks.org/python/python-data-types/
"Conditional Statements in Python

3 min read",https://www.geeksforgeeks.org/python/conditional-statements-in-python/
"Loops in Python - For, While and Nested Loops

5 min read",https://www.geeksforgeeks.org/python/loops-in-python/
"Python Functions

5 min read",https://www.geeksforgeeks.org/python/python-functions/
"Recursion in Python

4 min read",https://www.geeksforgeeks.org/python/recursion-in-python/
"Python Lambda Functions

5 min read",https://www.geeksforgeeks.org/python/python-lambda-anonymous-functions-filter-map-reduce/
"Python String

5 min read",https://www.geeksforgeeks.org/python/python-string/
"Python Lists

4 min read",https://www.geeksforgeeks.org/python/python-lists/
"Python Tuples

4 min read",https://www.geeksforgeeks.org/python/python-tuples/
"Python Dictionary

3 min read",https://www.geeksforgeeks.org/python/python-dictionary/
"Python Sets

6 min read",https://www.geeksforgeeks.org/python/python-sets/
"Python Arrays

7 min read",https://www.geeksforgeeks.org/python/python-arrays/
"List Comprehension in Python

4 min read",https://www.geeksforgeeks.org/python/python-list-comprehension/
"Python OOP Concepts

11 min read",https://www.geeksforgeeks.org/python/python-oops-concepts/
"Python Exception Handling

5 min read",https://www.geeksforgeeks.org/python/python-exception-handling/
"File Handling in Python

4 min read",https://www.geeksforgeeks.org/python/file-handling-python/
"Python Database Tutorial

4 min read",https://www.geeksforgeeks.org/python/python-database-tutorial/
"Python MongoDB Tutorial

2 min read",https://www.geeksforgeeks.org/python/python-mongodb-tutorial/
"Python MySQL

9 min read",https://www.geeksforgeeks.org/python/python-mysql/
"Python Packages

10 min read",https://www.geeksforgeeks.org/python/python-packages/
"Python Modules

7 min read",https://www.geeksforgeeks.org/python/python-modules/
"Python DSA Libraries

15 min read",https://www.geeksforgeeks.org/python/python-dsa-libraries/
"List of Python GUI Library and Packages

3 min read",https://www.geeksforgeeks.org/python/python3-gui-application-overview/
"NumPy Tutorial - Python Library

3 min read",https://www.geeksforgeeks.org/python/numpy-tutorial/
"Pandas Tutorial

4 min read",https://www.geeksforgeeks.org/pandas/pandas-tutorial/
"Matplotlib Tutorial

5 min read",https://www.geeksforgeeks.org/python/matplotlib-tutorial/
"Python Seaborn Tutorial

15+ min read",https://www.geeksforgeeks.org/python/python-seaborn-tutorial/
"StatsModel Library- Tutorial

4 min read",https://www.geeksforgeeks.org/data-science/statsmodel-library-tutorial/
"Learning Model Building in Scikit-learn

8 min read",https://www.geeksforgeeks.org/machine-learning/learning-model-building-scikit-learn-python-machine-learning-library/
"TensorFlow Tutorial

2 min read",https://www.geeksforgeeks.org/deep-learning/tensorflow/
"PyTorch Tutorial

6 min read",https://www.geeksforgeeks.org/deep-learning/pytorch-learn-with-examples/
"Flask Tutorial

8 min read",https://www.geeksforgeeks.org/python/flask-tutorial/
"Django Tutorial | Learn Django Framework

7 min read",https://www.geeksforgeeks.org/python/django-tutorial/
"Django ORM - Inserting, Updating & Deleting Data

4 min read",https://www.geeksforgeeks.org/python/django-orm-inserting-updating-deleting-data/
"Templating With Jinja2 in Flask

6 min read",https://www.geeksforgeeks.org/python/templating-with-jinja2-in-flask/
"Django Templates

7 min read",https://www.geeksforgeeks.org/python/django-templates/
"Python | Build a REST API using Flask

3 min read",https://www.geeksforgeeks.org/python/python-build-a-rest-api-using-flask/
"How to Create a basic API using Django Rest Framework ?

4 min read",https://www.geeksforgeeks.org/python/how-to-create-a-basic-api-using-django-rest-framework/
"Python Quiz

1 min read",https://www.geeksforgeeks.org/python/python-quizzes/
"Python Coding Practice

1 min read",https://www.geeksforgeeks.org/python/python-coding-practice-problems/
"Python Interview Questions and Answers

15+ min read",https://www.geeksforgeeks.org/python/python-interview-questions/
(empty),https://www.geeksforgeeks.org/
(empty),https://in.linkedin.com/company/geeksforgeeks
(empty),https://www.instagram.com/geeks_for_geeks/
(empty),https://twitter.com/geeksforgeeks
(empty),https://www.facebook.com/geeksforgeeks.org/
(empty),https://www.youtube.com/geeksforgeeksvideos
(empty),https://geeksforgeeksapp.page.link/gfg-app
(empty),https://geeksforgeeksapp.page.link/gfg-app
About Us,https://www.geeksforgeeks.org/about/
Legal,https://www.geeksforgeeks.org/legal/
Privacy Policy,https://www.geeksforgeeks.org/legal/privacy-policy/
Contact Us,https://www.geeksforgeeks.org/about/contact-us/
Advertise with us,https://www.geeksforgeeks.org/advertise-with-us/
GFG Corporate Solution,https://www.geeksforgeeks.org/gfg-corporate-solution/
Campus Training Program,https://www.geeksforgeeks.org/campus-training-program/
POTD,https://www.geeksforgeeks.org/problem-of-the-day
Job-A-Thon,https://practice.geeksforgeeks.org/events/rec/job-a-thon/
Blogs,https://www.geeksforgeeks.org/category/blogs/?type=recent
Nation Skill Up,https://www.geeksforgeeks.org/nation-skill-up/
Programming Languages,https://www.geeksforgeeks.org/computer-science-fundamentals/programming-language-tutorials/
DSA,https://www.geeksforgeeks.org/dsa/dsa-tutorial-learn-data-structures-and-algorithms/
Web Technology,https://www.geeksforgeeks.org/web-tech/web-technology/
"AI, ML & Data Science",https://www.geeksforgeeks.org/machine-learning/ai-ml-and-data-science-tutorial-learn-ai-ml-and-data-science/
DevOps,https://www.geeksforgeeks.org/devops/devops-tutorial/
CS Core Subjects,https://www.geeksforgeeks.org/gate/gate-exam-tutorial/
Interview Preparation,https://www.geeksforgeeks.org/aptitude/interview-corner/
Software and Tools,https://www.geeksforgeeks.org/websites-apps/software-and-tools-a-to-z-list/
IBM Certification,https://www.geeksforgeeks.org/courses/category/machine-learning-data-science
DSA and Placements,https://www.geeksforgeeks.org/courses/category/dsa-placements
Web Development,https://www.geeksforgeeks.org/courses/category/development-testing
Programming Languages,https://www.geeksforgeeks.org/courses/category/programming-languages
DevOps & Cloud,https://www.geeksforgeeks.org/courses/category/cloud-devops
GATE,https://www.geeksforgeeks.org/courses/category/gate
Trending Technologies,https://www.geeksforgeeks.org/courses/category/trending-technologies/
DSA,https://www.geeksforgeeks.org/videos/category/sde-sheet/
Python,https://www.geeksforgeeks.org/videos/category/python/
Java,https://www.geeksforgeeks.org/videos/category/java-w6y5f4/
C++,https://www.geeksforgeeks.org/videos/category/c/
Web Development,https://www.geeksforgeeks.org/videos/category/web-development/
Data Science,https://www.geeksforgeeks.org/videos/category/data-science/
CS Subjects,https://www.geeksforgeeks.org/videos/category/cs-subjects/
Interview Corner,https://www.geeksforgeeks.org/interview-prep/interview-corner/
Aptitude,https://www.geeksforgeeks.org/aptitude/aptitude-questions-and-answers/
Puzzles,https://www.geeksforgeeks.org/aptitude/puzzles/
GfG 160,https://www.geeksforgeeks.org/courses/gfg-160-series
System Design,https://www.geeksforgeeks.org/system-design/system-design-tutorial/
"@GeeksforGeeks, Sanchhaya Education Private Limited",https://www.geeksforgeeks.org/
All rights reserved,https://www.geeksforgeeks.org/copyright-information/
(empty),#
Interview Experiences,https://write.geeksforgeeks.org/posts-new?cid=e8fc46fe-75e7-4a4b-be3c-0c862d655ed0
Admission Experiences,https://write.geeksforgeeks.org/posts-new?cid=82536bdb-84e6-4661-87c3-e77c3ac04ede
Career Journeys,https://write.geeksforgeeks.org/posts-new?cid=5219b0b2-7671-40a0-9bda-503e28a61c31
Work Experiences,https://write.geeksforgeeks.org/posts-new?cid=22ae3354-15b6-4dd4-a5b4-5c7a105b8a8f
Campus Experiences,https://write.geeksforgeeks.org/posts-new?cid=c5e1ac90-9490-440a-a5fa-6180c87ab8ae
Competitive Exam Experiences,https://write.geeksforgeeks.org/posts-new?cid=5ebb8fe9-b980-4891-af07-f2d62a9735f2
